,year,link,txt,pdf,tag,day,month,year_check
0,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1001,txt/1902_ocr/ocr_1902_1001.txt,web_scraping/pdfs/1902/1902_1001.pdf,1902_1001,01,10,1902
1,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1002,txt/1902_ocr/ocr_1902_1002.txt,web_scraping/pdfs/1902/1902_1002.pdf,1902_1002,02,10,1902
2,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1003,txt/1902_ocr/ocr_1902_1003.txt,web_scraping/pdfs/1902/1902_1003.pdf,1902_1003,03,10,1902
3,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1006,txt/1902_ocr/ocr_1902_1006.txt,web_scraping/pdfs/1902/1902_1006.pdf,1902_1006,06,10,1902
4,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1007,txt/1902_ocr/ocr_1902_1007.txt,web_scraping/pdfs/1902/1902_1007.pdf,1902_1007,07,10,1902
5,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1008,txt/1902_ocr/ocr_1902_1008.txt,web_scraping/pdfs/1902/1902_1008.pdf,1902_1008,08,10,1902
6,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1009,txt/1902_ocr/ocr_1902_1009.txt,web_scraping/pdfs/1902/1902_1009.pdf,1902_1009,09,10,1902
7,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1010,txt/1902_ocr/ocr_1902_1010.txt,web_scraping/pdfs/1902/1902_1010.pdf,1902_1010,10,10,1902
8,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1013,txt/1902_ocr/ocr_1902_1013.txt,web_scraping/pdfs/1902/1902_1013.pdf,1902_1013,13,10,1902
9,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1014,txt/1902_ocr/ocr_1902_1014.txt,web_scraping/pdfs/1902/1902_1014.pdf,1902_1014,14,10,1902
