,year,pdf,file,tag,day,month,year_check
0,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1001,web_scraping/pdfs/1902/1902_1001.pdf,1902_1001,01,10,1902
1,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1002,web_scraping/pdfs/1902/1902_1002.pdf,1902_1002,02,10,1902
2,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1003,web_scraping/pdfs/1902/1902_1003.pdf,1902_1003,03,10,1902
3,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1006,web_scraping/pdfs/1902/1902_1006.pdf,1902_1006,06,10,1902
4,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1007,web_scraping/pdfs/1902/1902_1007.pdf,1902_1007,07,10,1902
5,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1008,web_scraping/pdfs/1902/1902_1008.pdf,1902_1008,08,10,1902
6,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1009,web_scraping/pdfs/1902/1902_1009.pdf,1902_1009,09,10,1902
7,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1010,web_scraping/pdfs/1902/1902_1010.pdf,1902_1010,10,10,1902
8,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1013,web_scraping/pdfs/1902/1902_1013.pdf,1902_1013,13,10,1902
9,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1014,web_scraping/pdfs/1902/1902_1014.pdf,1902_1014,14,10,1902
10,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1015,web_scraping/pdfs/1902/1902_1015.pdf,1902_1015,15,10,1902
11,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1016,web_scraping/pdfs/1902/1902_1016.pdf,1902_1016,16,10,1902
12,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1017,web_scraping/pdfs/1902/1902_1017.pdf,1902_1017,17,10,1902
13,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1020,web_scraping/pdfs/1902/1902_1020.pdf,1902_1020,20,10,1902
14,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1021,web_scraping/pdfs/1902/1902_1021.pdf,1902_1021,21,10,1902
15,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1022,web_scraping/pdfs/1902/1902_1022.pdf,1902_1022,22,10,1902
16,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1023,web_scraping/pdfs/1902/1902_1023.pdf,1902_1023,23,10,1902
17,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1024,web_scraping/pdfs/1902/1902_1024.pdf,1902_1024,24,10,1902
18,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1027,web_scraping/pdfs/1902/1902_1027.pdf,1902_1027,27,10,1902
19,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1028,web_scraping/pdfs/1902/1902_1028.pdf,1902_1028,28,10,1902
0,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1029,web_scraping/pdfs/1902/1902_1029.pdf,1902_1029,29,10,1902
1,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1030,web_scraping/pdfs/1902/1902_1030.pdf,1902_1030,30,10,1902
2,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1101,web_scraping/pdfs/1902/1902_1101.pdf,1902_1101,01,11,1902
3,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1103,web_scraping/pdfs/1902/1902_1103.pdf,1902_1103,03,11,1902
4,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1104,web_scraping/pdfs/1902/1902_1104.pdf,1902_1104,04,11,1902
5,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1105,web_scraping/pdfs/1902/1902_1105.pdf,1902_1105,05,11,1902
6,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1106,web_scraping/pdfs/1902/1902_1106.pdf,1902_1106,06,11,1902
7,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1107,web_scraping/pdfs/1902/1902_1107.pdf,1902_1107,07,11,1902
8,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1110,web_scraping/pdfs/1902/1902_1110.pdf,1902_1110,10,11,1902
9,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1111,web_scraping/pdfs/1902/1902_1111.pdf,1902_1111,11,11,1902
10,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1112,web_scraping/pdfs/1902/1902_1112.pdf,1902_1112,12,11,1902
11,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1113,web_scraping/pdfs/1902/1902_1113.pdf,1902_1113,13,11,1902
12,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1114,web_scraping/pdfs/1902/1902_1114.pdf,1902_1114,14,11,1902
13,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1117,web_scraping/pdfs/1902/1902_1117.pdf,1902_1117,17,11,1902
14,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1118,web_scraping/pdfs/1902/1902_1118.pdf,1902_1118,18,11,1902
15,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1119,web_scraping/pdfs/1902/1902_1119.pdf,1902_1119,19,11,1902
16,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1120,web_scraping/pdfs/1902/1902_1120.pdf,1902_1120,20,11,1902
17,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1121,web_scraping/pdfs/1902/1902_1121.pdf,1902_1121,21,11,1902
18,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1124,web_scraping/pdfs/1902/1902_1124.pdf,1902_1124,24,11,1902
19,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1125,web_scraping/pdfs/1902/1902_1125.pdf,1902_1125,25,11,1902
0,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1126,web_scraping/pdfs/1902/1902_1126.pdf,1902_1126,26,11,1902
1,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1201,web_scraping/pdfs/1902/1902_1201.pdf,1902_1201,01,12,1902
2,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1202,web_scraping/pdfs/1902/1902_1202.pdf,1902_1202,02,12,1902
3,1902,https://campub.lib.uchicago.edu/pdf/?docId=mvol-0004-1902-1203,web_scraping/pdfs/1902/1902_1203.pdf,1902_1203,03,12,1902
